file_name,repo_link
rootbotz,https://github.com/premashainath/botwars2026
echobinary,https://github.com/lakaThabrew/botwars2026
calit,https://github.com/sakithajayasinghe/botwars2026
zybots_,https://github.com/lasitheshanJR/botwars2026
nexora,https://github.com/aakilahamed2005/botwars2026
legendary_,https://github.com/Chanula-R/botwars2026
r2_d2,https://github.com/Senuri292/botwars2026
powerpuff,https://github.com/jeniviya/botwars2026
aegis,https://github.com/ZAID-EHT/botwars2026
tech_twins,https://github.com/hershie-exe/botwars2026
tit_for_tat,https://github.com/NemikaA/BotWars2026
segfault_society,https://github.com/avishkaindula/botwars2026
volt_x,https://github.com/SathmiKodithuwakku/botwars2026
teambinary,https://github.com/Desandu123/botwars2026
token_titans,https://github.com/heyiamheshan/botwars2026
repeaters,https://github.com/Rusiru-Jayakody/botwars2026
asml,https://github.com/tharsikathomas/botwars2026
omega_bots,https://github.com/Miuni12/botwars2026
team_zypher,https://github.com/zaidhsaleem/botwars2026
